,Opening Price,Closing Price,High,Returns,Volatility,Rolling_Corr
2018-10-16,-0.09562669785977904,-0.09584564252463026,-0.09758303201945133,0.01950702975829446,0.11596111547354113,0.06590367078758542
2018-10-17,-0.0956266978597808,-0.0958456425246318,-0.09758303201945304,0.019507029758297014,0.11596111547356114,0.06590367078758885
2018-10-18,-0.09562669785978203,-0.09584564252463293,-0.09758303201945426,0.019507029758299283,0.11596111547357779,0.06590367078759186
2018-10-19,-0.09562669785978324,-0.09584564252463405,-0.09758303201945545,0.019507029758301063,0.11596111547359178,0.06590367078759418
2018-10-20,-0.09562669785978403,-0.09584564252463477,-0.09758303201945627,0.01950702975830256,0.11596111547360337,0.06590367078759626
2018-10-21,-0.09562669785978488,-0.09584564252463554,-0.09758303201945707,0.019507029758303773,0.11596111547361304,0.06590367078759798
2018-10-22,-0.09562669785978545,-0.09584564252463601,-0.09758303201945762,0.01950702975830489,0.11596111547362108,0.0659036707875994
2018-10-23,-0.09562669785978606,-0.09584564252463662,-0.09758303201945825,0.019507029758305747,0.11596111547362783,0.06590367078760048
2018-10-24,-0.09562669785978647,-0.09584564252463695,-0.09758303201945867,0.01950702975830643,0.1159611154736335,0.0659036707876015
2018-10-25,-0.09562669785978678,-0.09584564252463726,-0.097583032019459,0.019507029758307072,0.1159611154736381,0.06590367078760241
2018-10-26,-0.0956266978597872,-0.09584564252463765,-0.09758303201945939,0.01950702975830759,0.11596111547364206,0.06590367078760304
2018-10-27,-0.09562669785978736,-0.09584564252463779,-0.09758303201945961,0.019507029758308075,0.11596111547364525,0.06590367078760363
2018-10-28,-0.09562669785978781,-0.0958456425246382,-0.09758303201946,0.01950702975830835,0.11596111547364804,0.06590367078760405
2018-10-29,-0.09562669785978786,-0.09584564252463819,-0.09758303201946002,0.019507029758308737,0.11596111547365022,0.06590367078760455
2018-10-30,-0.09562669785978808,-0.09584564252463848,-0.09758303201946025,0.019507029758308966,0.1159611154736522,0.06590367078760469
2018-10-31,-0.09562669785978811,-0.0958456425246385,-0.09758303201946031,0.019507029758309077,0.11596111547365384,0.06590367078760502
2018-11-01,-0.0956266978597882,-0.09584564252463855,-0.09758303201946035,0.019507029758309237,0.11596111547365506,0.06590367078760533
